"name,sun,water,space,description"
"Tomatoes,Full Sun,Medium,4,Grows well in containers with good sunlight"
"Rose,Full Sun,Medium,3,Flowering plant suitable for balconies"
"Aloe Vera,Full Sun,Low,2,Medicinal succulent with low water needs"
"Money Plant,Partial Shade,Medium,1,Popular indoor plant with minimal care"
"Tulsi,Full Sun,Medium,1,Sacred medicinal herb"
"Cucumber,Full Sun,High,5,Fast-growing vegetable climber"
"Snake Plant,Low Light,Low,1,Hardy indoor air-purifying plant"
"Lavender,Full Sun,Low,2,Aromatic herb requiring dry soil"
"Basil,Full Sun,Medium,1,Aromatic herb for cooking and pots"
"Mint,Partial Shade,High,1,Herb that grows rapidly and spreads easily"
"Spinach,Partial Shade,Medium,1,Leafy green for shallow containers"
"Peppers,Full Sun,Medium,2,Compact vegetable plant for small gardens"
"Strawberries,Full Sun,Medium,2,Ideal for hanging baskets or vertical planters"
"Coriander,Partial Shade,Medium,1,Easy-to-grow culinary herb"
"Chilli,Full Sun,Medium,2,Thrives well in pots and small gardens"
"Marigolds,Full Sun,Low,1,Flowering plant that repels pests naturally"
"Rosemary,Full Sun,Low,2,Drought-tolerant herb for pots"
"Fenugreek,Full Sun,Medium,1,Quick-growing herb for culinary use"
"Okra,Full Sun,High,3,Vegetable that grows well in containers"
"Cherry Tomatoes,Full Sun,Medium,2,Compact tomato variety for small spaces"
"Orchid,Partial Shade,Medium,2,Exotic flowering plant for indoor decoration"
"Geranium,Full Sun,Medium,2,Flowering plant suitable for balconies"
"Jasmine,Full Sun,Medium,3,Fragrant flowering plant for small gardens"
"Peppermint,Partial Shade,High,1,Fast-growing herb suitable for pots"
"Bamboo Palm,Partial Shade,Medium,3,Indoor plant that improves air quality"
